NAMA,MQ135,MQ2,MQ3,MQ6
rTir-D,5152,291,5560,81
rTir-D,5117,289,5545,79
rTir-D,6192,361,5541,110
rTir-D,6156,358,5526,107
rTir-D,6122,356,5514,105
rTir-D,6086,354,5500,103
rTir-D,6051,351,5487,100
rTir-D,5854,319,5184,95
rTir-D,5819,317,5170,93
rTir-D,5786,315,5157,91
rTir-D,6371,382,6210,116
rTir-D,5750,313,5142,89
rTir-D,5630,293,5031,81
rTir-D,5596,292,5016,79
rTir-D,5564,290,5003,76
rTir-D,5530,288,4988,74
rTir-D,5497,286,4975,72
rTir-D,5553,281,5042,75
rTir-D,5519,279,5027,73
rTir-D,5488,278,5013,71
rTir-D,5716,311,5129,86
rTir-D,6407,385,6222,119
rTir-D,6445,387,6237,121
rTir-D,6480,389,6248,124
rTir-D,5084,287,5530,76
rTir-D,5050,285,5514,74
rTir-D,5017,283,5499,71
rTir-D,4919,265,5399,60
rTir-D,4898,263,5400,58
rTir-D,4866,262,5387,55
rTir-D,4833,260,5370,53
rTir-D,4800,258,5355,50
rTir-D,4821,249,5330,58
rTir-D,4788,247,5313,56
rTir-D,4757,245,5298,53
rTir-D,4724,244,5281,51
rTir-D,4693,242,5266,48
rTir-D,6676,355,7706,117
rTir-D,6641,353,7693,115
rTir-D,6607,352,7680,112
rTir-D,6570,350,7666,110
rTir-D,6535,349,7654,107
rTir-D,6502,391,6245,125
rTir-D,5710,220,7726,238
rTir-D,5726,220,7725,239
rTir-D,5423,274,4985,66
rTir-L,1506,53,3961,43
rTir-L,3161,119,5687,335
rTir-L,3177,120,5704,336
rTir-L,3195,120,5723,336
rTir-L,2087,92,4262,79
rTir-L,2105,93,4283,82
rTir-L,2125,94,4305,83
rTir-L,2142,94,4326,86
rTir-L,2161,95,4347,88
rTir-L,3143,119,5666,335
rTir-L,2130,103,4457,85
rTir-L,2169,105,4500,90
rTir-L,2189,106,4522,93
rTir-L,2211,107,4545,95
rTir-L,2463,120,4731,119
rTir-L,2485,121,4751,122
rTir-L,2512,122,4774,124
rTir-L,2538,123,4795,127
rTir-L,2564,125,4816,129
rTir-L,2149,104,4478,88
rTir-L,3126,118,5647,334
rTir-L,2262,100,5025,139
rTir-L,2244,99,5004,138
rTir-L,1565,54,4040,50
rTir-L,1652,59,4150,54
rTir-L,1666,59,4170,55
rTir-L,1682,60,4192,57
rTir-L,1697,60,4211,59
rTir-L,1713,60,4232,61
rTir-L,1778,67,4283,67
rTir-L,1793,67,4303,69
rTir-L,1800,67,4311,70
rTir-L,1815,68,4331,72
rTir-L,1831,68,4353,74
rTir-L,1912,80,4561,90
rTir-L,1927,80,4580,92
rTir-L,1943,80,4603,94
rTir-L,1959,81,4622,96
rTir-L,1977,81,4644,98
rTir-L,2204,98,4956,132
rTir-L,2220,99,4977,134
rTir-L,2228,99,4984,135
rTir-L,2709,136,5099,141
rTir-L,1520,53,3980,45
rTir-L,2728,137,5119,143
rTir-L,2748,139,5141,145
rTir-L,2085,112,3582,108
rTir-L,2091,112,3584,109
rTir-L,2104,113,3598,111
rTir-L,2120,114,3614,112
rTir-L,2166,129,3541,114
rTir-L,2179,130,3557,117
rTir-L,2194,131,3575,119
rTir-L,2206,132,3589,121
rTir-L,2212,133,3592,123
rTir-L,2422,164,3678,171
rTir-L,2438,165,3691,174
rTir-L,2443,166,3689,175
rTir-L,2456,167,3698,176
rTir-L,2471,168,3711,178
rTir-L,2458,188,3399,169
rTir-L,2474,189,3411,172
rTir-L,2479,190,3409,174
rTir-L,2492,191,3418,176
rTir-L,2508,192,3429,178
rTir-L,2071,111,3567,105
rTir-L,1549,54,4021,48
rTir-L,2016,98,3548,97
rTir-L,1988,97,3515,93
rTir-L,2767,139,5159,147
rTir-L,2788,140,5180,148
rTir-L,2921,151,5681,160
rTir-L,2941,152,5699,162
rTir-L,2962,154,5721,164
rTir-L,2981,154,5738,165
rTir-L,3002,156,5757,166
rTir-L,2607,111,4903,199
rTir-L,2625,112,4920,201
rTir-L,2634,112,4924,201
rTir-L,2650,113,4939,202
rTir-L,2669,114,4956,203
rTir-L,1871,89,3492,83
rTir-L,1885,89,3507,85
rTir-L,1901,89,3524,86
rTir-L,1915,90,3539,89
rTir-L,1931,91,3555,90
rTir-L,1969,96,3496,89
rTir-L,1982,96,3511,92
rTir-L,2001,98,3530,95
rTir-L,1535,53,4000,46
rTir-M,4749,333,5261,173
rTir-M,6124,609,4747,624
rTir-M,6577,613,7024,560
rTir-M,6624,617,7034,566
rTir-M,6675,622,7049,572
rTir-M,6724,627,7061,578
rTir-M,6777,631,7074,584
rTir-M,4278,266,5160,116
rTir-M,4308,268,5176,118
rTir-M,4339,270,5193,121
rTir-M,5877,562,6134,316
rTir-M,4369,272,5209,124
rTir-M,4421,290,5268,124
rTir-M,4452,292,5284,127
rTir-M,4484,294,5302,129
rTir-M,4516,296,5317,132
rTir-M,4537,298,5317,134
rTir-M,4665,320,5393,150
rTir-M,4696,322,5409,153
rTir-M,4729,324,5427,156
rTir-M,4401,274,5227,126
rTir-M,5847,558,6121,314
rTir-M,5819,555,6110,311
rTir-M,5790,552,6097,310
rTir-M,4722,331,5246,170
rTir-M,4795,337,5275,177
rTir-M,4825,340,5291,179
rTir-M,4623,351,4972,147
rTir-M,4651,354,4988,150
rTir-M,4668,356,4987,151
rTir-M,4696,359,5000,154
rTir-M,4725,361,5016,156
rTir-M,5214,440,5278,255
rTir-M,5249,443,5291,259
rTir-M,5274,447,5289,261
rTir-M,5311,450,5300,265
rTir-M,5350,454,5316,268
rTir-M,5688,501,5304,274
rTir-M,5764,510,5370,283
rTir-M,5798,514,5374,285
rTir-M,5839,518,5389,286
rTir-M,5872,521,5399,285
rTir-M,5762,548,6085,307
rTir-M,4760,327,5442,158
rTir-M,4767,335,5261,174
rTir-M,4793,329,5460,161
rTir-M,5007,368,5557,192
rTir-M,4582,375,5388,211
rTir-M,4608,378,5403,214
rTir-M,4623,380,5402,215
rTir-M,4648,382,5415,218
rTir-M,4674,385,5430,220
rTir-M,4773,440,5437,255
rTir-M,4799,443,5450,259
rTir-M,4827,446,5464,261
rTir-M,4499,338,5423,189
rTir-M,4853,449,5477,264
rTir-M,5132,531,5485,338
rTir-M,5158,534,5495,341
rTir-M,5171,537,5491,342
rTir-M,5197,541,5501,345
rTir-M,5210,544,5495,347
rTir-M,6062,600,4736,613
rTir-M,6088,603,4745,617
rTir-M,6100,606,4738,620
rTir-M,4868,452,5473,265
rTir-M,4472,336,5407,187
rTir-M,4448,333,5392,185
rTir-M,4421,331,5376,183
rTir-M,5042,371,5574,194
rTir-M,5073,374,5589,197
rTir-M,5108,377,5604,199
rTir-M,5340,424,5764,228
rTir-M,5374,427,5778,231
rTir-M,5410,430,5795,234
rTir-M,5443,433,5808,237
rTir-M,5492,437,5840,240
rTir-M,5711,492,6126,262
rTir-M,5745,496,6140,265
rTir-M,5781,499,6155,268
rTir-M,5816,503,6168,271
rTir-M,5852,506,6183,272
rTir-M,4211,292,5352,142
rTir-M,4236,294,5368,145
rTir-M,4263,296,5385,147
rTir-M,4287,298,5400,150
rTir-M,4301,300,5400,151
rTir-M,4396,329,5361,180
rTir-M,4976,366,5542,189
rTir-M,6134,612,4739,626
